Lab Test Name,Category Name,Lab / Organization,Turnaround time,Base Price,Discount,Clinic Address,Open Time,Closing Time,Block time,Sunday Hours
SERUM POTASSIUM(K+),Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM PROTEIN ELECTROPHORESIS,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM SODIUM (Na+),Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM TRIGLYCERIDES,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM URIC ACID,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TC/HDL,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TOTAL CHOLESTEROL,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TOTAL IRON BINDING CAPACITY (TIBC),Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TOTAL PROTEIN,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TRANSFERRIN,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TRANSFERRIN SATURATION,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
UIBC,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE COPPER,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE HOMOCYSTEINE,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE MICROALBUMINUREA,Laboratory, Isha Diagnostics,24 hrs,650,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VITAMIN E,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VLDL CHOLESTEROL,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE ALBUMIN CREATININE RATIO,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ESTIMATED GLOMERULAR FILTRATION RATE (eGFR),Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ACETYLCHOLINE RECEPTOR (AChR) ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DIRECT BILURUBIN,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
INDERECT BILURBIN,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TOTAL BIRUBIN,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLASMA HOMOCYSTEINE,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ZINC,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE CALCIUM CREATININE RATIO,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
 URINE SODIUM,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CD 19 FLOWCYTOMETRY,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CD 20 FLOWCYTOMETRY,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
GLUCOSE,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE ELECTROLTES,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HLA B27 DNA Qualitative PCR,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
POST LUNCH BLOOD SUGAR,Laboratory, Isha Diagnostics,24 hrs,50,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CA-15.3,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VITAMIN C,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
GAD 65 ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Islet Cell Antibody,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 Hrs Urine - HIAA,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Allergy Profile (Drug Only),Laboratory, Isha Diagnostics,24 hrs,6100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Allergy Profile (Non Veg Only),Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ALLERGY PROFILE (VEG & NON VEG ONLY),Laboratory, Isha Diagnostics,24 hrs,5250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Allergy Profile (Veg Only),Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Arsenic,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Arsenic (Urine),Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LEAD,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE FOR POTASSIUM(K+),Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SCRUB TYPHUS,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM CALCITONIN,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 Hrs Urinary Microalbumin,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Herpes Simplex Virus 1 & 2 DNA Qualitative PCR,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE PHOSPHORUS,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
AQP4 (NMO-IgG) Autoantibody Test,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ERYTHROPOIETIN (EPO),Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ISHA COVID-19 VACCINATION,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
AUTOIMMUNE ENCEPHALITIS PANEL,Laboratory, Isha Diagnostics,24 hrs,10500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Epstein Barr Virus( viral capsid antigen) IgM,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE SPOT PROTEIN,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DUAL MARKER with GRAPH,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
OSTEOCALCIN,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SEMEN FRUCTOSE(SUGAR),Laboratory, Isha Diagnostics,24 hrs,50,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
AMPHETAMINE-URINE,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
COCAINE- URINE,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
METHADONE-URINE,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
OPIATES- URINE ,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"TB GOLD PLUS, INTERFERON GAMMA RELEASE ASSAY (IGRA)",Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TOXICOLOGY PANEL,Laboratory, Isha Diagnostics,24 hrs,3700,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BARBITURATES-URINE,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HAPTOGLOBULIN,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HLA Crossmatch and Donor Specific Antigen (DSA),Laboratory, Isha Diagnostics,24 hrs,11500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FLUID - URIC ACID,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ROMA - Index Test,Laboratory, Isha Diagnostics,24 hrs,3450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Myoglobulin (Serum),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Serum Digoxin Level,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE  AMYLASE,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FLUID AMYLASE,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HOMA Index with Insulin,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
POST GLUCOSE BLOOD SUGAR (PGBS),Laboratory, Isha Diagnostics,24 hrs,550,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE FOR TOXICOLOGY,Laboratory, Isha Diagnostics,24 hrs,4250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
 Allergy Profile with Drugs,Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
METHOTREXATE,Laboratory, Isha Diagnostics,24 hrs,2900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLA2 receptor antibody ,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
URINE PROTEIN,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CLOSTRIDIUM DIFFICILE GDH REFLEX TOXIN A/B,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CRYOGLOBULINS,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DOPAMINE â€ŽPlasmaâ€Ž,Laboratory, Isha Diagnostics,24 hrs,3200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SELENIUM,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Blood Urea Nitrogen (BUN)/Creatinine,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PARATHYROID PROFILE,Laboratory, Isha Diagnostics,24 hrs,4450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FLUID CHLORIDES (CL),Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LEPTIN HUMAN SERUM,Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ASPERGILLUS FUMIGATUS IGG ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FRUCTOSAMINE,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HOMA Index with C-Peptide,Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Urine Uric Acid,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ALPHA-1 ANTITRYPSIN (AAT),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ALUMINIUM,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
KFT (W/O) ELECTROLYTES,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LDH - Ascitic Fluid,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LDH - CSF,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LDH - Pleural Fluid,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RHEUMATIC FACTOR IGM ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LDH - Fluid,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
 CORTISOL (7 to 9 AM),Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
17-OH-PROGESTERONE,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINARY COPPER,Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
24 HRS URINARY CORTISOL,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
25-HYDROXY VITAMIN D TOTAL (D2 & D3),Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
AFP,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANGIOTENSIN CONVERTING ENZYME (ACE),Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI Ds DNA,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI HAV IGM,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI MULLERIAN HORMONE(AMH),Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI SMOOTH MUSCLE ANTIBODY (ASMA) - IFA,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI THYROID ANTIBODY (ANTI TG/THYROGLOBULIN),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CA - 125,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CA-19.9,Laboratory, Isha Diagnostics,24 hrs,1900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CEA,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CEROLOPLASMIN,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CORTISOL SERUM (3 to 5 pm),Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ESTRADIOL ,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FERRITIN,Laboratory, Isha Diagnostics,24 hrs,480,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FSH,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FT3,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FT4,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HLAB-27 ,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LH,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PROGESTERONE,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PROLACTIN,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PSA,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM HOMOCYSTEINE,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
T3,Laboratory, Isha Diagnostics,24 hrs,300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
T4,Laboratory, Isha Diagnostics,24 hrs,300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TESTOSTERONE TOTAL,Laboratory, Isha Diagnostics,24 hrs,1100,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"THYROID PROFILE (T3, T4, TSH)",Laboratory, Isha Diagnostics,24 hrs,550,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TORCH IgG,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TORCH IgM,Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Total ÃŸHCG,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TRIPLE MARKER WITH GRAPH ,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TROPONIN l,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TSH,Laboratory, Isha Diagnostics,24 hrs,300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VITAMIN B-12,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VITAMIN B1,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VITAMIN B2(Riboflavin),Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VITAMIN B6,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FSH + LH + PROLACTIN,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TESTOSTERONE-FREE,Laboratory, Isha Diagnostics,24 hrs,1600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
THROMBOPHILIA PROFILE2,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TISSUE TRANSGLUTAMINASE ANTIBODY - IGA,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
DEHYDRO EPIANDROSTERONE SULPHATE (DHEAS),Laboratory, Isha Diagnostics,24 hrs,1500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VITAMIN A,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI-CCP,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
*ANTI SOLUBLE LIVER ANTIGEN (SLA),Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BILE-ACIDS TOTAL,Laboratory, Isha Diagnostics,24 hrs,1600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Interleukin 6,Laboratory, Isha Diagnostics,24 hrs,2450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI DIURETIC HORMONE (ADH),Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SEX HORMONE BINDING GLOBULIN (SHBG),Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TSH Receptor Antibody,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BETA 2 MICROGLOBULIN,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
FSH/LH RATIO,Laboratory, Isha Diagnostics,24 hrs,300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTIâ€MUSK ANTIBODIES,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
APOLIPOPROTEIN A1 (APO-A1)*,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
APOLIPOPROTEIN B (APO-B)*,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
INSULIN - LIKE GROWTH FACTOR (IGF-I),Laboratory, Isha Diagnostics,24 hrs,4500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LIPOPROTEIN A (LP-A),Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ALDOSTERONE,Laboratory, Isha Diagnostics,24 hrs,2500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Dehydroepiandrosterone (DHEA),Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
HLA-B 5701,Laboratory, Isha Diagnostics,24 hrs,5000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
MOG-NMOSD - SERUM,Laboratory, Isha Diagnostics,24 hrs,10000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
IA2 - INSULIN,Laboratory, Isha Diagnostics,24 hrs,3600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RENIN ACTIVITY,Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
THYROGLOBULIN,Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
NMO,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PSA - Free,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SARS CoV 2 Antibody IgG,Laboratory, Isha Diagnostics,24 hrs,1490,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
THALASSEMIA SCREEN,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PARANEOPLASTIC NEURONAL AB - Serum,Laboratory, Isha Diagnostics,24 hrs,8000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Anti Mitochondrial Antibody - IFA,Laboratory, Isha Diagnostics,24 hrs,2300,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
LIVER-KIDNEY MICROSOME (LKM) - 1 ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
CENTROMERE IGG ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
