Lab Test Name,Category Name,Lab / Organization,Turnaround time,Base Price,Discount,Clinic Address,Open Time,Closing Time,Block time,Sunday Hours
"Dihydrotestosterone, Serum",Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
TORCH 10 PROFILE (IgG&IgM),Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
NMDA Receptor Antibody,Laboratory, Isha Diagnostics,24 hrs,9000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
VGKC (LG1 and CASPR2) Antibody,Laboratory, Isha Diagnostics,24 hrs,10000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
*LH,Laboratory, Isha Diagnostics,24 hrs,450,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
INHIBIN B,Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
INHIBIN A,Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
BRUCELLA IGG ANTIBODY,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Chromogranin A,Laboratory, Isha Diagnostics,24 hrs,9000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RDW-CV,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RDW-SD,Laboratory, Isha Diagnostics,24 hrs,150,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
GASTRIN,Laboratory, Isha Diagnostics,24 hrs,2000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
 Heavy Metals ,Laboratory, Isha Diagnostics,24 hrs,6000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Absolute Eosinophil Count,Laboratory, Isha Diagnostics,24 hrs,400,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
ANTI THROMBIN III (ANTIGENIC),Laboratory, Isha Diagnostics,24 hrs,3000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
IMMATURE PLATELET FRACTION,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Treponema pallidum Antibody (FTA-ABS),Laboratory, Isha Diagnostics,24 hrs,2200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
Immuno Deficiency Panel CD45/CD3/CD4/CD8,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
"METANEPHRINE-FREE, PLASMA",Laboratory, Isha Diagnostics,24 hrs,4000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
